% Model:              on_off_off.mph
% Version:            COMSOL 6.3.0.335
% Date:               Feb 7 2025, 00:12
% Table:              Table 9 - Global Evaluation 2
% k (1/m)                                         Eigenfrequency (Hz)                               Frequency (Hz)                                    p_ax (1)                                          p_tr (1)
0                                                 0.044351323493016556i                             0.044351323493016556i                             NaN                                               NaN
0                                                 0.046962923465486285                              0.046962923465486285                              NaN                                               NaN
0                                                 1871.379836438825                                 1871.379836438825                                 NaN                                               NaN
0                                                 1912.13954891713                                  1912.13954891713                                  NaN                                               NaN
0                                                 9309.396052155556                                 9309.396052155556                                 NaN                                               NaN
0                                                 10414.180990919916                                10414.180990919916                                NaN                                               NaN
0                                                 19663.979914641666                                19663.979914641666                                NaN                                               NaN
0                                                 24306.018177700444                                24306.018177700444                                NaN                                               NaN
0                                                 37910.600691060674                                37910.600691060674                                NaN                                               NaN
0                                                 38973.56290431408                                 38973.56290431408                                 NaN                                               NaN
0                                                 40218.462223196155                                40218.462223196155                                NaN                                               NaN
0                                                 41888.97627504729                                 41888.97627504729                                 NaN                                               NaN
0                                                 56681.79125800013                                 56681.79125800013                                 NaN                                               NaN
0                                                 57451.460808822296                                57451.460808822296                                NaN                                               NaN
0                                                 75465.2642583547                                  75465.2642583547                                  NaN                                               NaN
0                                                 79412.1774188371                                  79412.1774188371                                  NaN                                               NaN
0                                                 83348.17014390203                                 83348.17014390203                                 NaN                                               NaN
0                                                 87190.0398689703                                  87190.0398689703                                  NaN                                               NaN
0                                                 97796.36467099455                                 97796.36467099455                                 NaN                                               NaN
0                                                 101000.24232392386                                101000.24232392386                                NaN                                               NaN
1.7629588403983123                                39869.86077450897-6.905185173246082E-5i           39869.86077450897-6.905185173246082E-5i           0.9993546785773352                                6.453214226645463E-4
1.7629588403983123                                42233.27940772387-4.330886460630371E-5i           42233.27940772387-4.330886460630371E-5i           0.9991316623885804                                8.683376114191232E-4
1.7629588403983123                                56514.35152273027-6.58267613127394E-5i            56514.35152273027-6.58267613127394E-5i            0.08694687822642334                               0.9130531217735768
1.7629588403983123                                57619.52516410865-2.669115927343138E-4i           57619.52516410865-2.669115927343138E-4i           0.0684244632142932                                0.9315755367857079
1.7629588403983123                                75421.8233122346+0.001051727606971771i            75421.8233122346+0.001051727606971771i            0.07278146980359942                               0.9272185301964013
1.7629588403983123                                79455.497159805+2.0062010728985808E-4i            79455.497159805+2.0062010728985808E-4i            0.11851460409102929                               0.8814853959089706
1.7629588403983123                                83209.35510603488+5.353440061972366E-4i           83209.35510603488+5.353440061972366E-4i           0.9965011457537227                                0.003498854246276416
1.7629588403983123                                87332.42600506781-4.7218133811848705E-4i          87332.42600506781-4.7218133811848705E-4i          0.9959538424134982                                0.004046157586502874
1.7629588403983123                                97747.21478646887-0.0012209152291370727i          97747.21478646887-0.0012209152291370727i          0.10740473640930431                               0.892595263590697
1.7629588403983123                                101047.83979425608+0.002430910014933118i          101047.83979425608+0.002430910014933118i          0.11959577237123292                               0.880404227628767
2.2036985504978905                                1.184650840880344-6.599792187249388E-8i           1.184650840880344-6.599792187249388E-8i           3.547377129306547E-6                              0.9999964526228711
2.2036985504978905                                1016.389801002076-7.108674858431411E-11i          1016.389801002076-7.108674858431411E-11i          0.9999996999562261                                3.0004377333658364E-7
2.2036985504978905                                1796.9893489943938+3.4669025475979E-8i            1796.9893489943938+3.4669025475979E-8i            0.006274765161313888                              0.9937252348386857
2.2036985504978905                                1988.2430830542237+4.37828024716596E-7i           1988.2430830542237+4.37828024716596E-7i           0.007128322484553527                              0.9928716775154459
2.2036985504978905                                9263.974689631532-1.9626631654282507E-5i          9263.974689631532-1.9626631654282507E-5i          0.02212502977482124                               0.9778749702251783
2.2036985504978905                                10463.65270489727+1.1350528532978944E-5i          10463.65270489727+1.1350528532978944E-5i          0.020302684697645058                              0.9796973153023552
2.2036985504978905                                19638.21809940796-6.415442278153982E-4i           19638.21809940796-6.415442278153982E-4i           0.054407091668880796                              0.9455929083311192
2.2036985504978905                                24334.436929448468-1.0997401634036682E-4i         24334.436929448468-1.0997401634036682E-4i         0.029249248912682276                              0.970750751087317
2.2036985504978905                                37757.22837736672-3.3490374745028504E-4i          37757.22837736672-3.3490374745028504E-4i          0.06567863632743405                               0.9343213636725667
2.2036985504978905                                39129.22424123058+1.6575585278448286E-4i          39129.22424123058+1.6575585278448286E-4i          0.055548017155026615                              0.9444519828449721
2.2036985504978905                                39712.70888304086-4.123622297492931E-5i           39712.70888304086-4.123622297492931E-5i           0.9993544931347988                                6.455068652013478E-4
2.2036985504978905                                42388.009592767914-1.2467345346288853E-4i         42388.009592767914-1.2467345346288853E-4i         0.9991303990132568                                8.696009867436882E-4
2.2036985504978905                                56439.576176614195+5.024067635031155E-4i          56439.576176614195+5.024067635031155E-4i          0.08572193156861704                               0.9142780684313817
2.2036985504978905                                57694.64987179224+7.213314686299888E-5i           57694.64987179224+7.213314686299888E-5i           0.0696663239150752                                0.930333676084924
2.2036985504978905                                75397.79707808005+9.936539374696244E-4i           75397.79707808005+9.936539374696244E-4i           0.0730315730700653                                0.9269684269299351
2.2036985504978905                                79479.44158733559-0.0019384831992790828i          79479.44158733559-0.0019384831992790828i          0.11826512393846744                               0.8817348760615317
2.2036985504978905                                83135.36801372659-3.420809889126481E-4i           83135.36801372659-3.420809889126481E-4i           0.9965026615756946                                0.003497338424304989
2.2036985504978905                                87408.42340147606-8.10520250663642E-4i            87408.42340147606-8.10520250663642E-4i            0.9959511014773695                                0.004048898522630476
2.2036985504978905                                97720.18467580073+0.001367592524633849i           97720.18467580073+0.001367592524633849i           0.10752272178682756                               0.8924772782131728
2.2036985504978905                                101073.99588924166+9.8815227911939E-4i            101073.99588924166+9.8815227911939E-4i            0.11947481191445986                               0.8805251880855413
2.6444382605974686                                1.7057725146270057+7.54509952867663E-8i           1.7057725146270057+7.54509952867663E-8i           5.108465806661545E-6                              0.9999948915341934
2.6444382605974686                                1219.6606013999792-3.8734554179223863E-11i        1219.6606013999792-3.8734554179223863E-11i        0.9999995660715384                                4.339284605168407E-7
2.6444382605974686                                1779.051864991362-1.0906537685457416E-9i          1779.051864991362-1.0906537685457416E-9i          0.006202621286712314                              0.9937973787132877
2.6444382605974686                                2006.9328596782964-1.354164137710908E-8i          2006.9328596782964-1.354164137710908E-8i          0.007207733409078356                              0.9927922665909217
2.6444382605974686                                9245.152049635943-8.954441439842533E-7i           9245.152049635943-8.954441439842533E-7i           0.021984491500823097                              0.9780155084991758
2.6444382605974686                                10484.259028153818+1.233458414184517E-5i          10484.259028153818+1.233458414184517E-5i          0.020443611909161583                              0.9795563880908383
2.6444382605974686                                19626.98342238798+5.1921045448320346E-5i          19626.98342238798+5.1921045448320346E-5i          0.05430305485493079                               0.9456969451450699
